City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,napasar,27.9667,73.55,30.69,58,100,12.15,IN,1691348313
203,kingston,17.997,-76.7936,34.02,64,20,10.29,JM,1691348147
204,ust-nera,64.5667,143.2,3.99,86,8,3.21,RU,1691348313
205,zhanaozen,43.3,52.8,32.26,24,0,3.93,KZ,1691348147
206,jinghong,21.991,100.7341,22.18,100,100,0.77,CN,1691348313
207,kapuskasing,49.4169,-82.4331,25.05,46,75,3.09,CA,1691348126
208,cockburn town,21.4612,-71.1419,31.98,66,40,7.2,TC,1691348143
209,ola,59.5833,151.2833,11.47,69,88,4.64,RU,1691348314
210,tromso,69.6496,18.957,13.01,62,0,4.63,NO,1691348148
211,pontevedra,42.431,-8.6444,28.5,36,7,4.4,ES,1691348314
212,amassoma,4.9692,6.1097,24.39,84,100,2.98,NG,1691348314
213,hermanus,-34.4187,19.2345,9.89,87,0,1.85,ZA,1691348141
214,qaqortoq,60.7167,-46.0333,6.73,84,30,2.35,GL,1691348131
215,fallon,39.4735,-118.7774,29.95,27,20,3.09,US,1691348314
216,martapura,-3.4167,114.85,24.05,100,75,1.03,ID,1691348315
217,westport,41.1415,-73.3579,30.64,52,0,3.6,US,1691348140
218,myitkyina,25.3833,97.4,23.53,100,100,0.82,MM,1691348315
219,nuuk,64.1835,-51.7216,8.73,72,0,7.52,GL,1691348270
220,magadan,59.5667,150.8,11.57,68,100,4.22,RU,1691348315
221,nadi,-17.8,177.4167,22.0,100,75,2.57,FJ,1691348315
222,namtsy,62.7161,129.6658,13.14,64,9,2.29,RU,1691348315
223,suva,-18.1416,178.4415,21.71,100,75,0.0,FJ,1691347912
224,mgandu,-5.95,34.1333,17.61,62,38,5.37,TZ,1691348315
225,vilyuchinsk,52.9306,158.4028,15.15,86,99,3.17,RU,1691348130
226,puerto deseado,-47.7503,-65.8938,3.29,50,6,13.65,AR,1691348316
227,serhiyivka,46.0272,30.3768,24.42,91,18,5.28,UA,1691348316
228,sumbawa besar,-8.5,117.4333,19.91,84,34,2.83,ID,1691348316
229,childress,34.4264,-100.204,36.07,40,0,0.0,US,1691348205
230,ataq,14.5377,46.8319,27.98,58,4,4.47,YE,1691348316
231,yeppoon,-23.1333,150.7333,14.88,85,0,5.02,AU,1691348316
232,bayanaul,50.7889,75.6956,18.9,80,98,1.95,KZ,1691348316
233,mejit,10.2753,170.8646,27.91,80,100,8.17,MH,1691347824
234,alice springs,-23.7,133.8833,5.75,81,0,2.06,AU,1691348317
235,vila franca do campo,37.7167,-25.4333,24.23,65,49,0.76,PT,1691348317
236,ryotsu-minato,38.0833,138.4333,27.64,84,100,1.85,JP,1691348317
237,udachny,66.4167,112.4,10.25,75,100,2.93,RU,1691348113
238,kone,-21.0595,164.8658,15.64,91,100,2.16,NC,1691348317
239,utrik,11.2278,169.8474,27.82,81,50,6.94,MH,1691348133
240,hanzhong,33.0728,107.0303,23.18,96,100,0.97,CN,1691348317
241,castillos,-34.1667,-53.8333,21.58,72,100,3.07,UY,1691348317
242,dundaga,57.5167,22.35,24.82,61,100,5.72,LV,1691348318
243,ghat,24.9647,10.1728,37.37,8,0,3.8,LY,1691348318
244,itupiranga,-5.1347,-49.3267,37.18,28,56,1.09,BR,1691348318
245,salinas,36.6777,-121.6555,33.65,60,0,3.09,US,1691348318
246,aldan,58.6031,125.3894,15.88,55,100,1.91,RU,1691348318
247,kikwit,-5.041,18.8162,28.51,24,29,1.57,CD,1691348318
248,praia da vitoria,38.7333,-27.0667,24.14,78,40,3.54,PT,1691348318
249,robertsport,6.7533,-11.3686,25.89,77,94,5.24,LR,1691348318
250,villa gesell,-37.2639,-56.973,16.14,62,2,4.5,AR,1691348318
251,koksovyy,48.1967,40.5989,28.9,34,0,4.58,RU,1691348319
252,sinop,41.7711,34.8709,22.98,58,0,1.44,TR,1691348319
253,islamorada,24.9243,-80.6278,34.0,80,8,1.34,US,1691348319
254,karachi,24.9056,67.0822,27.9,78,75,7.2,PK,1691348125
255,darwin,-12.4611,130.8418,22.99,43,15,3.09,AU,1691348081
256,frontera,26.9333,-101.45,36.85,38,1,2.68,MX,1691348319
257,bathsheba,13.2167,-59.5167,31.34,79,40,5.66,BB,1691348319
258,ploudalmezeau,48.5333,-4.65,17.14,77,75,5.14,FR,1691348319
259,amasra,41.7463,32.3863,26.5,51,0,3.49,TR,1691348319
260,ta`u,-14.2336,-169.5144,26.8,78,29,3.75,AS,1691348320
261,prince rupert,54.3161,-130.3201,19.05,87,0,1.54,CA,1691348250
262,klyuchi,52.2667,79.1667,18.18,80,38,2.05,RU,1691348115
263,krasnovishersk,60.4078,57.082,16.21,95,0,1.63,RU,1691348320
264,strezhevoy,60.7333,77.5889,15.34,66,0,2.88,RU,1691348320
265,swakopmund,-22.6833,14.5333,17.47,61,0,2.96,,1691348320
266,constantia,44.1833,28.65,23.38,84,0,4.45,RO,1691348116
267,ponta delgada,37.7333,-25.6667,24.4,69,40,4.12,PT,1691348320
268,kisangani,0.5167,25.2,22.34,97,100,0.93,CD,1691348320
269,nemuro,43.3236,145.575,14.48,97,100,5.1,JP,1691348127
270,mossendjo,-2.9506,12.7261,23.36,55,34,0.78,CG,1691348211
271,san antonio de pale,-1.4014,5.6325,23.4,80,21,5.74,GQ,1691348134
272,pyapon,16.2833,95.6833,26.16,87,100,3.81,MM,1691348321
273,sakaiminato,35.55,133.2333,27.99,78,40,2.06,JP,1691348321
274,springfield,37.2153,-93.2982,31.09,59,0,4.47,US,1691348100
